name,neighborhood,url_slug,res_id,rating
Camperdown Elm,Park Slope,camperdown-elm,1329,4.68937048503612
Socarrat Paella Bar - Nolita,Nolita,socarrat-paella-bar-nolita,3885,
Dinosaur Bar-B-Que - Brooklyn,Gowanus,dinosaur-bar-b-que-brooklyn,3889,4.63636363636364
Chinese Tuxedo,Chinatown,chinese-tuxedo,818,4.48965641302393
Uncle Chop Chop,West Village,uncle-chop-chop,3891,4.83333333333333
Dinosaur Bar-B-Que - Newark,Downtown,dinosaur-bar-b-que-newark,3894,3.5
MIDNIGHTS,Williamsburg,mid-nights,823,4.42721088435374
Evelina,Fort Greene,evelina,1851,4.70616113744076
Selamat Pagi,Greenpoint,selamat-pagi,3904,
4 Charles Prime Rib,West Village,4-charles-prime-rib,834,4.9164423387531
Sociale,Brooklyn Heights,sociale,3301,4.64864864864865
Dylan's Candy Bar,Upper East Side,dylans-candy-bar,2244,3.66666666666667
Elia Restaurant,Bay Ridge,elia-restaurant,2358,4.74489795918367
Las Lap,Lower East Side,las-lap,2886,5.0
The Finch,Clinton Hill,the-finch,841,4.62427548585066
Fausto,Prospect Heights,fausto,1866,4.69671689989236
Clay,Harlem,clay,1085,4.82425913163336
Camillo,Prospect Lefferts Gardens,camillo,1677,4.78571428571429
Black Forest Brooklyn - Smith St,Cobble Hill,black-forest-brooklyn-smith-st,1872,4.47058823529412
Black Forest Brooklyn - Fort Greene,Clinton Hill,black-forest-brooklyn-fort-greene,1876,4.25563909774436
Palazzo,Central Montclair,palazzo,3726,4.75
La Cigogne,Carroll Gardens,la-cigogne,3926,5.0
Maison Pickle,Upper West Side,maison-pickle,857,4.51356834897286
Lamano,Chelsea,lamano,861,4.19121447028424
Marandola's Restaurant,Bradley Beach,marandolas-restaurant,2914,4.66187050359712
St Tropez,West Village,st-tropez,1892,4.41429436705027
Masa's Raw Bar,TriBeCa,masas-raw-bar,2364,4.38888888888889
nonono,Midtown,nonono,2929,4.48411214953271
Avant Garden Brooklyn,Williamsburg,avant-garden-brooklyn,2930,4.76351351351351
The Belfry,East Village,the-belfry,1513,4.66417910447761
Shoji at 69 Leonard Street,TriBeCa,shoji69leonard,888,4.62409420289855
